nombre2 apellido1 ingresobase retencion empleados codempresa fechaInstalacion
nombre2;apellido2;11456789;99876;3;4000000;23/12/2011
nombre3;apelliodo3;23456778;34567;4;567890;12/12/2000
nombre4;apellido3;35456767;-30742;5;-2864220;2/12/1989
nombre5;apelliodo4;47456756;-96051;6;-6296330;22/11/1978
;apellido4;59456745;-161360;7;-9728440;12/11/1967
nombre7;apelliodo5; ;-226669;8;-13160550;1/11/1956
nombre8;apellido5;83456723;-291978;9;-16592660;22/10/1945
nombre9;apelliodo6;95456712;-357287;10;-20024770;12/10/1934
nombre10;apellido6;107456701;-422596;11;-23456880;2/10/1923
nombre11;apelliodo7;119456690;-487905;12;-26888990;21/09/1912
nombre12;apellido7; ;-553214;13;-30321100;11/09/1901
nombre13;apelliodo8;143456668;-618523;14;-33753210;12/12/2000
nombre14;apellido8;155456657;-683832;15;-37185320;23/12/2011
nombre15;apelliodo9;167456646;-749141;16;-40617430;12/12/2000
nombre16;apellido9;179456635;-814450;17;-44049540;23/12/2011
nombre17;apelliodo10;191456624;-879759;18;-47481650;12/12/2000
nombre18;apellido10;203456613;-945068;19;-50913760;23/12/2011
nombre19;apelliodo11;215456602;-1010377;20;-54345870;12/12/2000
nombre20;apellido11;227456591;-1075686;21;-57777980;23/12/2011
nombre21;apelliodo12;239456580;-1140995;22;-61210090;12/12/2000
nombre22;apellido12;251456569;-1206304;23;-64642200;23/12/2011
nombre23;apelliodo13;263456558;-1271613;24;-68074310;12/12/2000
nombre24;apellido13;275456547;-1336922;25;-71506420;23/12/2011
nombre25;apelliodo14;287456536;-1402231;26;-74938530;12/12/2000
nombre26;apellido14;299456525;-1467540;27;-78370640;23/12/2011
nombre27;apelliodo15;311456514;-1532849;28;-81802750;12/12/2000
nombre28;apellido15;323456503;-1598158;29;-85234860;23/12/2011
nombre29;apelliodo16;335456492;-1663467;30;-88666970;12/12/2000
nombre30;apellido16;347456481;-1728776;31;-92099080;23/12/2011
nombre31;apelliodo17; ; ;32;-95531190;12/12/2000
nombre32;apellido17;371456459;-1859394;33;-98963300;23/12/2011
nombre33;apelliodo18;383456448;-1924703;34;-102395410;12/12/2000
nombre34;apellido18;395456437;-1990012;35;-105827520;23/12/2011
nombre35;apelliodo19;407456426;-2055321;36;-109259630;12/12/2000
nombre36;apellido19;419456415;-2120630;37;-112691740;23/12/2011
